rank,rank_status,album_name,artist_name,sales,distribution,
1,new,Butter,BTS,2999407,YG PLUS,
2,new,Sticker - The 3rd Album,NCT 127,2427559,Dreamus,
3,new,? (Hot Sauce   - The 1st Album,NCT DREAM,2097185,Dreamus,
4,new,9th Mini Album `Attacca`,SEVENTEEN,2059073,YG PLUS,
5,new,Universe - The 3rd Album,NCT,1630715,Dreamus,
6,new,8th Mini Album `Your Choice`,SEVENTEEN,1462405,YG PLUS,
7,new,DON`T FIGHT THE FEELING - Special Album,EXO,1326189,Dreamus,
8,new,NOEASY,Stray Kids,1303106,Dreamus,
9,new,DIMENSION : DILEMMA,ENHYPEN,1205949,Stone Music Entertainment,
10,new,BE,BTS,1049496,YG PLUS,
11,new,Hello Future - The 1st Album Repackage,NCT DREAM,1025005,Dreamus,
12,new,Bambi - The 3rd Mini Album,BAEKHYUN,996850,Dreamus,
13,new,Favorite - The 3rd Album Repackage,NCT 127,934986,Dreamus,
14,new,??? ?: FREEZE,TXT,877917,YG PLUS,
15,new,BORDER : CARNIVAL,ENHYPEN,788451,Stone Music Entertainment,
16,new,??? ?: FIGHT OR ESCAPE,TXT,775121,YG PLUS,
17,new,Christmas EveL,Stray Kids,743047,Dreamus,
18,new,ZERO : FEVER Part.3,ATEEZ,737124,Stone Music Entertainment,
19,new,Formula of Love: O+T=<3,TWICE,714955,Dreamus,
20,new,LALISA,LISA,708475,YG PLUS,
21,new,6TH MINI ALBUM [THRILL-ING],THE BOYZ,642992,Kakao Entertainment,
22,new,3rd Single Album [MAVERICK],THE BOYZ,642369,Kakao Entertainment,
23,new,Savage - The 1st Mini Album,aespa,574445,Dreamus,
24,new,Taste of Love,TWICE,559093,Dreamus,
25,new,R,ROSE,516915,YG PLUS,
26,new,ZERO : FEVER Part.2,ATEEZ,514515,Stone Music Entertainment,
27,new,CRAZY IN LOVE,ITZY,500124,Dreamus,
28,new,LOVE YOURSELF 轉 `Tear`,BTS,458050,YG PLUS,
29,new,The Renaissance - The 10th Album,Super Junior,442742,Dreamus,
30,new,NO LIMIT,monsta x,424618,Kakao Entertainment,
31,new,LOVE YOURSELF 結 `Answer`,BTS,411822,YG PLUS,
32,new,ZERO: FEVER EPILOGUE,ATEEZ,407165,Stone Music Entertainment,
33,new,5th Album `LILAC`,IU,402864,Kakao Entertainment,
34,new,NCT RESONANCE Pt. 2 - The 2nd Album,NCT,393900,Dreamus,
35,new,LOVE YOURSELF 承 `Her`,BTS,391160,YG PLUS,
36,new,?? - The 1st Mini Album,D.O.  ,380178,Dreamus,
37,new,Queendom - The 6th Mini Album,Red Velvet  ,363602,Dreamus,
38,new,All Yours,ASTRO  ,360911,Kakao Entertainment,
39,new,MAP OF THE SOUL : PERSONA,BTS,358154,YG PLUS,
40,new,One Of A Kind,monsta x,352734,Kakao Entertainment,
41,new,MAP OF THE SOUL : 7,BTS,345192,YG PLUS,
42,new,GUESS WHO,ITZY ,339940,Dreamus,
43,new,THE FIRST STEP : TREASURE EFFECT,TREASURE,331320,YG PLUS,
44,new,YELLOW,kangdaniel,320114,Sony Music,
45,new,SWITCH ON,ASTRO  ,310979,Kakao Entertainment,
46,new,Don`t Call Me - The 7th Album,SHINee  ,307859,Dreamus,
47,new,Kick Back - The 3rd Mini Album,WayV,276132,Dreamus,
48,new,Hello Future - The 1st Album Repackage (KiT  ,NCT DREAM,269641,Dreamus,
49,new,ELEVEN,IVE ,268396,Kakao Entertainment,
50,new,Peaches - The 2nd Mini Album,KAI  ,265201,Dreamus,
51,new,Favorite - The 3rd Album Repackage (KiT  ,NCT 127,230350,Dreamus,
52,new,I burn,gidle,219409,Kakao Entertainment,
53,new,TURN OVER,SF9 ,217201,Kakao Entertainment,
54,new,The 2nd Album 'Romanticize',NU`EST  ,205972,YG PLUS,
55,new,NCT 2018 EMPATHY,NCT,199062,Dreamus,
56,new,THE ALBUM,BLACKPINK,190729,YG PLUS,
57,new,BORDER : DAY ONE,ENHYPEN,189832,Stone Music Entertainment,
58,new,???? Young Forever,BTS,186595,YG PLUS,
59,new,WINGS,BTS,184418,YG PLUS,
60,new,YOU NEVER WALK ALONE,BTS,184398,YG PLUS,
61,new,1ST ALBUM PART 1 [The Awakening: Written In The Stars],CRAVITY,181291,Kakao Entertainment,
