rank,rank_status,album_name,artist_name,sales,distribution
1,new,Proof,BTS,3482598,YG PLUS
2,new,MAXIDENT,Stray Kids,3176233,Dreamus
3,new,4th Album `Face the Sun`,SEVENTEEN,2867353,YG PLUS
4,new,BORN PINK,BLACKPINK,2522941,YG PLUS
5,new,Glitch Mode - The 2nd Album,NCT DREAM,2095544,Dreamus
6,new,?? (2 Baddies) - The 4th Album,NCT 127,1825170,Dreamus
7,new,minisode 2: Thursday`s Child,TXT,1806679,YG PLUS
8,new,Girls - The 2nd Mini Album,aespa,1803050,Dreamus
9,new,ODDINARY,Stray Kids,1762168,Dreamus
10,new,After LIKE,IVE ,1652402,Kakao Entertainment
11,new,Beatbox - The 2nd Album Repackage,NCT DREAM,1517211,Dreamus
12,new,4th Album Repackage `SECTOR 17`,SEVENTEEN,1470928,YG PLUS
13,new,Candy - Winter Special Mini Album,NCT DREAM,1395187,Dreamus
14,new,MANIFESTO : DAY 1,ENHYPEN,1387150,Stone Music Entertainment
15,new,IM HERO,hero,1149643,Dreamus
16,new,BETWEEN 1&2,TWICE,1121912,Dreamus
17,new,The Astronaut,JIN,1040155,YG PLUS
18,new,CHECKMATE,ITZY,1032930,Dreamus
19,new,THE WORLD EP.1 : MOVEMENT,ATEEZ ,1007575,Stone Music Entertainment
20,new,CHESHIRE,ITZY ,1003533,Dreamus
21,new,LOVE DIVE,IVE ,861185,Kakao Entertainment
22,new,I love,gidle,824113,Kakao Entertainment
23,new,`The ReVe Festival 2022 - Birthday`,Red Velvet,803108,Dreamus
24,new,THE SECOND STEP : CHAPTER ONE,TREASURE ,797717,YG PLUS
25,new,DIMENSION : ANSWER,ENHYPEN,782590,Stone Music Entertainment
26,new,ANTIFRAGILE,LE SSERAFIM,754657,YG PLUS
27,new,`The ReVe Festival 2022 - Feel My Rhythm`,Red Velvet,694304,Dreamus
28,new,PANORAMA,kimhochong,686586,Kakao Entertainment
29,new,2021 Winter SMTOWN : SMCU EXPRESS,SMTOWN,564410,Dreamus
30,new,ENTWURF,NMIXX,562596,Dreamus
31,new,Indigo,RM,544294,YG PLUS
32,new,IM NAYEON,TWICE,544265,Dreamus
33,new,MMM,yongtol,534147,Kakao Entertainment
34,new,1st EP `New Jeans`,NewJeans,530766,YG PLUS
35,new,AD MARE,NMIXX,498432,Dreamus
36,new,THE SECOND STEP : CHAPTER TWO,TREASURE ,483423,YG PLUS
37,new,Jack In The Box (Weverse),j-hope,476770,YG PLUS
38,new,GOT7,GOT7,459254,Warner Music
39,new,FEARLESS,LE SSERAFIM ,453215,YG PLUS
