rank,rank_status,artist_name,sales,distribution
1,new,BTS,3482598,YG PLUS
2,new,Stray Kids,3176233,Dreamus
3,new,SEVENTEEN,2867353,YG PLUS
4,new,BLACKPINK,2522941,YG PLUS
5,new,NCT DREAM,2095544,Dreamus
6,new,NCT 127,1825170,Dreamus
7,new,TXT,1806679,YG PLUS
8,new,aespa,1803050,Dreamus
9,new,Stray Kids,1762168,Dreamus
10,new,IVE ,1652402,Kakao Entertainment
11,new,NCT DREAM,1517211,Dreamus
12,new,SEVENTEEN,1470928,YG PLUS
13,new,NCT DREAM,1395187,Dreamus
14,new,ENHYPEN,1387150,Stone Music Entertainment
15,new,hero,1149643,Dreamus
16,new,TWICE,1121912,Dreamus
17,new,JIN,1040155,YG PLUS
18,new,ITZY,1032930,Dreamus
19,new,ATEEZ ,1007575,Stone Music Entertainment
20,new,ITZY ,1003533,Dreamus
21,new,IVE ,861185,Kakao Entertainment
22,new,gidle,824113,Kakao Entertainment
23,new,Red Velvet,803108,Dreamus
24,new,TREASURE ,797717,YG PLUS
25,new,ENHYPEN,782590,Stone Music Entertainment
26,new,LE SSERAFIM,754657,YG PLUS
27,new,Red Velvet,694304,Dreamus
28,new,kimhochong,686586,Kakao Entertainment
29,new,SMTOWN,564410,Dreamus
30,new,NMIXX,562596,Dreamus
31,new,RM,544294,YG PLUS
32,new,TWICE,544265,Dreamus
33,new,yongtol,534147,Kakao Entertainment
34,new,NewJeans,530766,YG PLUS
35,new,NMIXX,498432,Dreamus
36,new,TREASURE ,483423,YG PLUS
37,new,j-hope,476770,YG PLUS
38,new,GOT7,459254,Warner Music
39,new,LE SSERAFIM ,453215,YG PLUS
40,new,THE BOYZ,439502,Kakao Entertainment
41,new,monsta x,435754,Kakao Entertainment
42,new,Kep1er ,396102,Stone Music Entertainment
43,new,Kep1er,353401,Stone Music Entertainment
44,new,BTS,333361,YG PLUS
45,new,TXT,332076,YG PLUS
46,new,girl's generation,294948,Dreamus
47,new,BTS,292721,YG PLUS
48,new,BTS,292131,YG PLUS
49,new,gidle,274958,Kakao Entertainment
50,new,Kep1er ,267476,Stone Music Entertainment
51,new,BTS,263067,YG PLUS
52,new,STAYC,261827,Kakao Entertainment
53,new,STAYC,258572,Kakao Entertainment
54,new,ASTRO,253427,Kakao Entertainment
55,new,ATEEZ,252291,Stone Music Entertainment
56,new,Stray Kids,246937,Dreamus
57,new,ONEUS,243263,Kakao Entertainment
58,new,SEULGI,241364,Dreamus
59,new,TXT,241261,YG PLUS
60,new,NewJeans,230960,YG PLUS
61,new,SEVENTEEN,228380,YG PLUS
62,new,SEVENTEEN,226071,YG PLUS
63,new,SEVENTEEN,223341,YG PLUS
64,new,CRAVITY,221418,Kakao Entertainment
65,new,BTS,215404,YG PLUS
66,new,SUHO,211013,Dreamus
67,new,DKZ,208671,????
68,new,NCT,207921,Dreamus
69,new,SEVENTEEN,206821,YG PLUS
70,new,Red Velvet,204965,Dreamus
71,new,ONEUS,199237,Kakao Entertainment
72,new,wujusonyeo,196468,Kakao Entertainment
73,new,WINNER,196179,YG PLUS
74,new,RM,195069,YG PLUS
75,new,kihyeon(monsta x),194166,Kakao Entertainment
76,new,TAEYEON  ,193154,Dreamus
77,new,Super Junior  ,190869,Dreamus
78,new,ATEEZ ,189734,Stone Music Entertainment
79,new,SF9 ,182841,Kakao Entertainment
80,new,aespa,181506,Dreamus
81,new,Super Junior  ,178561,Dreamus
82,new,XIUMIN  ,177439,Dreamus
83,new,IVE ,175911,Kakao Entertainment
84,new,ENHYPEN,169798,Stone Music Entertainment
85,new,NCT DREAM,169270,Dreamus
86,new,SEVENTEEN,168593,YG PLUS
87,new,BTS,166988,YG PLUS
88,new,Super Junior  ,164426,Dreamus
89,new,SMTOWN,161469,Dreamus
90,new,kihyeon(monsta x),161066,Kakao Entertainment
91,new,DKZ,158704,genie music
92,new,fromis_9  ,158682,YG PLUS
93,new,kangdaniel,157019,Sony Music
94,new,benyuesonyeo,156907,Warner Music
95,new,CRAVITY,156719,Kakao Entertainment
96,new,TXT,152900,YG PLUS
97,new,kangdaniel,149807,Sony Music
98,new,wenbin&shanhe,147056,Kakao Entertainment
99,new,WEi  ,146044,Kakao Entertainment
100,new,THE BOYZ  ,144734,Kakao Entertainment
